,Precio Venta,Fecha Venta,Vendedor
0,2133903,2004-06-19,Carmen
1,1945424,2004-04-19,Pedro
2,712416,2004-11-08,Joaquín
3,1815450,2004-04-27,Jesús
4,1138024,2004-07-10,María
5,953156,2004-09-05,Pedro
6,406686,2004-06-07,Pedro
7,2158475,2004-10-31,Jesús
8,1024380,2004-12-28,Jesús
9,2042768,2004-10-06,Joaquín
10,627068,2004-10-28,Pedro
11,999328,2004-04-05,Carmen
12,2937300,2004-11-04,Jesús
13,664700,2004-10-01,Carmen
14,820336,2004-11-29,Pedro
15,937960,2004-11-21,Carmen
16,358846,2004-10-08,Luisa
17,1679605,2004-06-06,Carmen
18,472615,2004-04-09,Luisa
19,1169496,2004-08-19,María
20,2020992,2004-06-12,Carmen
21,727552,2004-04-14,Pedro
22,1438929,2004-04-21,Luisa
23,427390,2004-12-01,Joaquín
24,1170684,2004-05-23,Jesús
25,549780,2004-06-22,Jesús
26,659330,2004-12-23,Pedro
27,1660560,2004-06-16,Joaquín
28,753571,2004-07-07,Luisa
29,939072,2004-08-04,Carmen
30,1405374,2004-09-24,Jesús
31,627348,2004-04-12,María
32,1504110,2004-07-03,María
33,2483197,2004-11-01,María
34,1799771,2004-12-31,Luisa
35,1054340,2004-12-02,Luisa
36,1160572,2004-07-09,Pedro
37,1492800,2004-12-08,Joaquín
38,1154980,2005-01-14,Joaquín
39,1057784,2004-07-22,Jesús
40,1421860,2004-09-23,Jesús
41,1426992,2004-11-20,Jesús
42,579716,2004-09-22,María
43,1537062,2004-12-16,María
44,2851058,2005-01-02,Joaquín
45,1294048,2004-10-29,Carmen
46,249418,2004-08-11,Luisa
47,1457488,2004-07-06,Jesús
48,321680,2005-01-11,Jesús
49,957625,2004-11-13,Carmen
50,568620,2004-12-14,Joaquín
51,1605564,2004-09-26,María
52,1438748,2004-10-17,Carmen
53,686996,2004-05-30,Luisa
54,983234,2004-07-09,Carmen
55,239220,2004-05-01,María
56,512730,2004-07-04,Carmen
57,2287626,2004-12-21,María
58,1373816,2004-11-19,Joaquín
59,1920240,2004-06-28,Jesús
60,1140840,2004-09-12,Carmen
61,1142938,2005-01-23,Joaquín
62,738144,2004-09-06,Luisa
63,509010,2004-10-13,María
64,1436832,2004-05-26,Luisa
65,2119424,2004-12-24,Pedro
66,948927,2004-10-15,Jesús
67,376992,2004-06-28,Luisa
68,2212408,2004-10-09,María
