Provincia,Precio Venta
Barcelona,2937300
Barcelona,1679605
Barcelona,1169496
Barcelona,2020992
Barcelona,1170684
Barcelona,1660560
Barcelona,1405374
Barcelona,1504110
Barcelona,2483197
Barcelona,1421860
Barcelona,2851058
Barcelona,249418
Barcelona,1457488
Barcelona,686996
Barcelona,738144
Barcelona,948927
Barcelona,376992
Barcelona,320044
Barcelona,2520484
Barcelona,1339107
Barcelona,1812244
Barcelona,470940
Barcelona,925322
Barcelona,778875
Barcelona,219716
Barcelona,723609
Barcelona,388032
Barcelona,965358
Barcelona,663816
Barcelona,438435
Barcelona,1528200
Barcelona,1587642
Barcelona,887241
Barcelona,688864
Barcelona,1385910
Barcelona,1087119
Barcelona,686154
Barcelona,1076034
Barcelona,455477
Barcelona,782870
Barcelona,734388
Barcelona,779241
Barcelona,2080078
Barcelona,416936
Barcelona,848328
Barcelona,2109930
Barcelona,919030
Barcelona,1336717
Barcelona,692180
Barcelona,2134246
Barcelona,492156
Barcelona,474600
Barcelona,1069320
Barcelona,665951
Barcelona,995520
Barcelona,1298716
Barcelona,656535
Barcelona,1176597
Barcelona,1582527
Barcelona,424536
Barcelona,1099648
Barcelona,1449629
Barcelona,1006988
Barcelona,927255
Barcelona,2038586
Barcelona,881804
Barcelona,523770
Barcelona,1360800
Barcelona,258444
Barcelona,1773780
Barcelona,600596
Barcelona,2612566
Barcelona,1521216
Barcelona,391391
Barcelona,2439971
Barcelona,2571111
Barcelona,1754992
Barcelona,255906
Barcelona,1592166
Barcelona,876060
Barcelona,1227224
Barcelona,1369368
Barcelona,990355
Barcelona,803000
Barcelona,361661
Barcelona,1178100
Barcelona,1083466
Barcelona,851852
Barcelona,1180048
Barcelona,896220
Barcelona,1238339
Barcelona,1109980
Barcelona,822811
Barcelona,525210
Barcelona,1823400
Barcelona,1746405
Barcelona,486472
Barcelona,1560450
Barcelona,946792
Barcelona,933321
Barcelona,2682900
Barcelona,1883700
Barcelona,1383480
Barcelona,729788
Barcelona,386584
Barcelona,1381506
Barcelona,1209735
Barcelona,637308
Barcelona,1090180
Barcelona,1945755
Barcelona,583362
Barcelona,1543344
Barcelona,1077665
Barcelona,790602
Barcelona,1005312
Barcelona,406998
Barcelona,458568
Barcelona,2439512
Barcelona,587880
Barcelona,322322
Barcelona,546780
Barcelona,1166780
Barcelona,1911312
Barcelona,1729762
Barcelona,2578696
Barcelona,531432
Barcelona,647352
Barcelona,2297538
Barcelona,1175860
