,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
12,13,2004-01-04,Parking,Venta,Barcelona,300,2937300,2004-11-04,Jesús
44,45,2004-01-20,Oficina,Alquiler,Barcelona,287,2851058,2005-01-02,Joaquín
78,79,2004-01-31,Parking,Venta,Barcelona,298,2520484,2004-11-27,Carmen
89,90,2004-02-04,Suelo,Venta,Girona,292,2685816,2004-07-24,Pedro
281,282,2004-04-18,Casa,Venta,Girona,285,2534505,2004-12-28,Jesús
296,297,2004-04-23,Suelo,Alquiler,Girona,288,2699136,2004-07-28,Pedro
303,304,2004-04-26,Casa,Alquiler,Barcelona,298,2612566,2005-02-16,Pedro
315,316,2004-05-02,Industrial,Alquiler,Barcelona,261,2571111,2005-02-07,Carmen
379,380,2004-05-25,Local,Venta,Lleida,269,2586704,2005-03-27,Carmen
381,382,2004-05-26,Suelo,Alquiler,Lleida,264,2582184,2005-04-24,Luisa
400,401,2004-06-02,Piso,Alquiler,Barcelona,271,2682900,2005-06-02,Pedro
438,439,2004-06-15,Oficina,Alquiler,Girona,298,2524358,2004-10-23,Luisa
464,465,2004-06-24,Industrial,Alquiler,Lleida,268,2628812,2005-03-15,Pedro
494,495,2004-07-03,Oficina,Venta,Barcelona,268,2578696,2005-06-28,Luisa
581,582,2004-07-31,Industrial,Venta,Lleida,290,2584480,2004-11-22,Jesús
610,611,2004-08-11,Casa,Venta,Barcelona,294,2658936,2005-06-21,Luisa
633,634,2004-08-18,Piso,Alquiler,Tarragona,283,2576432,2005-05-13,María
638,639,2004-08-19,Piso,Alquiler,Girona,277,2646181,2005-07-04,Carmen
654,655,2004-08-22,Oficina,Venta,Girona,293,2787016,2005-03-23,Luisa
701,702,2004-09-07,Piso,Alquiler,Girona,295,2553225,2005-01-14,Carmen
703,704,2004-09-08,Piso,Alquiler,Barcelona,278,2540364,2005-04-12,Carmen
872,873,2004-11-09,Industrial,Alquiler,Lleida,295,2923155,2005-05-06,Luisa
